url,timestamp,cmp_vendor,errors,initial_banner_analysis_accept_all_present,initial_banner_analysis_reject_all_present,initial_banner_analysis_settings_button_present,initial_banner_analysis_legal_text_summary,purpose_details_purposes,purpose_details_pre_ticked_non_essential_count,purpose_details_total_purposes_count,purpose_details_strictly_necessary_count,compliance_indicators_reject_as_easy_as_accept,compliance_indicators_no_pre_ticked_boxes
https://eu.puma.com/ie/en/home,2025-06-15T18:29:00.138783,Unknown,[],TRUE,TRUE,TRUE,,"[{'title': 'Strictly Necessary Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Performance Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Functional Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Social Media Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Targeting Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Other analysis methods for marketing purposes (website tags)', 'is_strictly_necessary': False, 'is_ticked_by_default': False}]",0,6,0,TRUE,TRUE
https://www.adobe.com/ie/,2025-06-15T18:29:06.344022,Unknown,[],TRUE,TRUE,TRUE,,"[{'title': 'Operate the site and core services', 'is_strictly_necessary': False, 'is_ticked_by_default': True}, {'title': 'Measure performance', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Extend functionality', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Personalize advertising', 'is_strictly_necessary': False, 'is_ticked_by_default': False}]",1,4,0,TRUE,FALSE
https://www2.hm.com/en_ie/index.html,2025-06-15T18:29:11.378130,Unknown,['Could not find purpose/category items in preference center.'],TRUE,TRUE,TRUE,,[],0,0,0,TRUE,TRUE
https://www.rte.ie/,2025-06-15T18:29:48.747184,Unknown,[],TRUE,TRUE,TRUE,,"[{'title': 'Strictly Necessary Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Performance Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Functional Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Targeting Cookies and Third-Party Embeds', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Store and/or access information on a device18 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Develop and improve services18 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Measure content performance7 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Understand audiences through statistics or combinations of data from different sources12 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Use limited data to select advertising18 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Create profiles for personalised advertising15 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Use profiles to select personalised advertising14 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Create profiles to personalise content4 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Use profiles to select personalised content4 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Measure advertising performance21 partners can use this purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Use precise geolocation data8 partners can use this special feature', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Ensure security, prevent and detect fraud, and fix errors17 partners can use this special purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Deliver and present advertising and content18 partners can use this special purpose', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Match and combine data from other data sources13 partners can use this feature', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Link different devices14 partners can use this feature', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Identify devices based on information transmitted automatically17 partners can use this feature', 'is_strictly_necessary': False, 'is_ticked_by_default': False}]",0,20,0,TRUE,TRUE
https://www.did.ie/,2025-06-15T18:29:54.697116,Unknown,['Could not find purpose/category items in preference center.'],FALSE,TRUE,TRUE,,[],0,0,0,FALSE,TRUE
https://www.amazon.ie/,2025-06-15T18:30:21.836909,Unknown,['No recognizable consent banner found.'],FALSE,FALSE,FALSE,,[],0,0,0,FALSE,TRUE
https://www.zalando.ie/,2025-06-15T18:30:49.826135,Unknown,['No settings button found.'],FALSE,FALSE,FALSE,,[],0,0,0,FALSE,TRUE
https://deliveroo.ie/,2025-06-15T18:30:56.629856,Unknown,[],TRUE,TRUE,TRUE,,"[{'title': 'Strictly Necessary Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Analytics Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Functional Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}, {'title': 'Advertising Cookies', 'is_strictly_necessary': False, 'is_ticked_by_default': False}]",0,4,0,TRUE,TRUE
