url,timestamp,status,initial_banner_found,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,legal_text_summary,error_log,settings_button_present,settings_button_text
https://eu.puma.com/ie/en/home,2025-06-22T16:42:13.119984,Pending,TRUE,TRUE,0,0,0,[],"Your Privacy is important to us Our website by default only uses cookies and similar technology (hereinafter ""Cookies"") for basic website functions/settings. If you want to stay with this default setting, please click “NECESSARY COOKIES ONLY”. You can also change the default setting and allow cookies for comfort and personalization features and/or targeted advertising. To do this, click on “COOKIE SETTINGS” and select the Cookies you want to activate. Subsequently click “CONFIRM MY CHOICES”. By clicking on “ACCEPT ALL COOKIES” you allow cookies for ALL the purposes described in the ""COOKIE SETTINGS"".For more information, see our Privacy Policy. Cookies Settings Necessary Cookies Only Accept All Cookies","[""Preference extraction failed: TimeoutException""]",TRUE,"For more information, see our Privacy Policy."
https://www.adobe.com/ie/,2025-06-22T16:42:36.906992,Pending,TRUE,TRUE,0,0,0,[],"Make It Your Own Adobe and its vendors use cookies and similar technologies to improve your experience and measure your interactions with our websites, products and services. We also use them to provide you more relevant information in searches and in ads on this and other sites. If that’s okay, click “Enable all"". Clicking “Don’t enable” will set only cookies that are strictly necessary. You can also view our vendors and customize your choices by clicking ""Cookie Settings"". Cookie Settings Don't Enable Enable all","[""Preference extraction failed: TimeoutException""]",TRUE,Don't Enable
https://www2.hm.com/en_ie/index.html,2025-06-22T16:42:54.093937,Partial (Interaction Failed),TRUE,FALSE,0,0,0,[],"BEFORE YOU START SHOPPING We use first- and third-party cookies including other tracking technologies from third party publishers to give you the full functionality of our website, customize your user experience, perform analytics and deliver personalized advertising on our websites, apps and newsletters across internet and via social media platforms. For that purpose, we collect information about user, browsing patterns and device.  By clicking “Accept all cookies”, you accept and agree that we share this information with third parties, such as our advertising partners. By choosing ""Only required cookies"", optional cookies are blocked, limiting our delivery of tailored content and features. Click on “Cookie Settings” to customize your options. Visit our Cookie policy to learn more.  Cookie policy ACCEPT ALL COOKIES ONLY REQUIRED COOKIES COOKIE SETTINGS","[""No suitable settings/preferences button found after scoring.""]",,
https://www.rte.ie/,2025-06-22T16:43:11.676091,Success,TRUE,TRUE,17,0,6,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies and Third-Party Embeds"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""17 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""6 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""11 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""14 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""13 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""3 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""20 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""7 partners can use this special feature"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""16 partners can use this special purpose"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""17 partners can use this special purpose"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""12 partners can use this feature"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""13 partners can use this feature"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""17 partners can use this feature"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}]","We Care About Your Privacy We and our 21 partners store and access personal data, like browsing data or unique identifiers, on your device. Selecting ""I Accept"" enables tracking technologies to support the purposes shown under ""we and our partners process data to provide,"" whereas selecting ""Reject All"" or withdrawing your consent will disable them. If trackers are disabled, some content and ads you see may not be as relevant to you. You can resurface this menu to change your choices or withdraw consent at any time by clicking the [""privacy preferences""] link on the bottom of the webpage [or the floating icon on the bottom-left of the webpage, if applicable]. Your choices will have effect within our Website. For more details, refer to our Privacy Policy.View our Cookie PolicyView our Privacy Policy We and our partners process data to provide: Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Develop and improve services. Measure content performance. Understand audiences through statistics or combinations of data from different sources. Use limited data to select advertising. Create profiles for personalised advertising. Use profiles to select personalised advertising. Create profiles to personalise content. Use profiles to select personalised content. Measure advertising performance. Use limited data to select content. List of Partners (vendors) Allow Only Necessary Allow All Show Purposes

--- PREFERENCE CENTER TEXT ---
We process your data to deliver content or advertisements and measure the delivery of such content or advertisements to extract insights about our website. We share this information with our partners on the basis of consent. You may exercise your right to consent, based on a specific purpose below or at a partner level in the link under each purpose. Some vendors may process your data based on their legitimate interests, which does not require your consent. You cannot object to tracking technologies placed to ensure security, prevent fraud, fix errors, or deliver and present advertising and content, and precise geolocation data and active scanning of device characteristics for identification may be used to support this purpose. This exception does not apply to targeted advertising. These choices will be signaled to our vendors participating in the Transparency and Consent Framework. Cookie PolicyPrivacy Policy",[],TRUE,Show Purposes
https://www.did.ie/,2025-06-22T16:43:28.953042,Partial (No purposes parsed from preference center),TRUE,TRUE,0,0,0,[],"This website uses cookies We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. Consent Selection Necessary Preferences Statistics Marketing Show details                Allow all Allow selection Deny

--- PREFERENCE CENTER TEXT ---
Consent Details About Details Necessary 30 Necessary cookies help make a website usable by enabling basic functions like page navigation and access to secure areas of the website. The website cannot function properly without these cookies.      Preferences 9 Preference cookies enable a website to remember information that changes the way the website behaves or looks, like your preferred language or the region that you are in. Statistics 8 Statistic cookies help website owners to understand how visitors interact with websites by collecting and reporting information anonymously. Marketing 39 Marketing cookies are used to track visitors across websites. The intention is to display ads that are relevant and engaging for the individual user and thereby more valuable for publishers and third party advertisers. Unclassified 31 Unclassified cookies are cookies that we are in the process of classifying, together with the providers of individual cookies. Cookie declaration last updated on 06/06/2025 by Cookiebot           Deny Allow selection Allow all","[""Final parse found 0 purpose items.""]",TRUE,Show details
https://www.amazon.ie/,2025-06-22T16:43:51.218030,Failed,FALSE,FALSE,0,0,0,[],,['Consent banner not found.'],,
https://www.zalando.ie/,2025-06-22T16:44:18.621415,Failed,FALSE,FALSE,0,0,0,[],,['Consent banner not found.'],,
https://deliveroo.ie/,2025-06-22T16:44:45.899883,Success,TRUE,TRUE,4,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Analytics Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Advertising Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]","Cookies We and our partners use cookies and similar technologies to analyse traffic, tailor and improve our content and services (like showing you great restaurants and shops we’d think you’d like), serve relevant ads and measure their effectiveness on other apps and websites. To help make ads relevant we may also share your data with advertising partners. You can accept, reject or customise our use of such cookies for these purposes, or select ‘Cookies’ in our Sites footer at any time, to choose which cookies we can use. To learn more see our Cookie Policy. Customise Continue without accepting Accept all

--- PREFERENCE CENTER TEXT ---
Cookies We and our partners use cookies and similar technologies to analyse traffic, tailor and improve our content and services (like showing you great restaurants and shops we’d think you’d like), serve relevant ads and measure their effectiveness on other apps and websites. To help make ads relevant we may also share your data with advertising partners. You can accept, reject or customise our use of such cookies for these purposes, or select ‘Cookies’ in our Sites footer at any time, to choose which cookies we can use. To learn more see our Cookie Policy. Customise Continue without accepting Accept all",[],TRUE,Customise
https://www.irishtimes.com/,2025-06-22T16:44:57.307035,Success,TRUE,TRUE,11,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Features"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""IAB Special Purposes"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""77 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""68 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""29 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""11 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]","We value your privacy We and our 78 partners store and access personal data, like browsing data or unique identifiers, on your device. Selecting I ACCEPT enables tracking technologies to support the purposes shown under we and our partners process data to provide. If trackers are disabled, some content and ads you see may not be as relevant to you. You can resurface this menu to change your choices or withdraw consent at any time by clicking the Cookie Settings link on the bottom of the webpage . Your choices will have effect within our Website. For more details, refer to our Privacy Policy.Cookie Policy Certain vendors, once consent is provided by you to the storage of information on your device and/or to the access of information already stored on your device, use legitimate interest to further process your personal data. We and our partners collect and use data Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development. List of Partners (vendors) I ACCEPT MANAGE SETTINGS

--- PREFERENCE CENTER TEXT ---
We process your data to deliver content or advertisements and measure the delivery of such content or advertisements to extract insights about our website. We share this information with our partners on the basis of consent and legitimate interest. You may exercise your right to consent or object to a legitimate interest, based on a specific purpose below or at a partner level in the link under each purpose. These choices will be signaled to our vendors participating in the Transparency and Consent Framework. More information",[],TRUE,MANAGE SETTINGS
https://www.independent.ie/,2025-06-22T16:45:11.609140,Partial (No purposes parsed from preference center),TRUE,TRUE,0,0,0,[],"Cookies and data processing on The Irish Independent  Mediahuis (‘we’) and partners use technologies such as cookies to store and access (personal) data – online identifiers (e.g., IP address, sign-in ID), non-precise location and information about your browser, operating system, device as well as insights into your use of this domain – on your device for the following purposes: Advertising and content measurement, audience insights and product development; Personalised content; Personalised ads; and Social media. If you allow such use, click ""Accept"". If you do not want to allow all purposes, select ""Manage"".You can manage your preferences and object to processing based on legitimate interest at any time in your privacy settings. We will share your privacy preferences – for which purposes and partners you provided consent - with our partners. Would you like more explanation about our use of your data? Read our privacy policy and cookie policy. More information on the use of your data by our partners you find here. View our 207 partners Manage Accept","[""Final parse found 0 purpose items.""]",TRUE,Manage
https://www.breakingnews.ie/,2025-06-22T16:45:34.952071,Success,TRUE,TRUE,10,8,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""Social Media Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""75 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""66 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""27 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""10 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""45 partners can use this purpose"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]","We value your privacy We and our 76 partners store and access personal data, like browsing data or unique identifiers, on your device. Selecting ""I Accept"" enables tracking technologies to support the purposes shown under ""we and our partners process data to provide,"" whereas selecting ""Reject All"" or withdrawing your consent will disable them. If trackers are disabled, some content and ads you see may not be as relevant to you. You can resurface this menu to change your choices or withdraw consent at any time by clicking the Cookie Settings link on the bottom of the webpage [or the floating icon on the bottom-left of the webpage, if applicable]. Your choices will have effect within our Website. For more details, refer to our Privacy Policy.Cookie Policy Certain vendors, once consent is provided by you to the storage of information on your device and/or to the access of information already stored on your deceive, use legitimate interest to further process your personal data. We and our partners collect and use data Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development. List of Partners (vendors) I ACCEPT MANAGE MY SETTINGS

--- PREFERENCE CENTER TEXT ---
We process your data to deliver content or advertisements and measure the delivery of such content or advertisements to extract insights about our website. We share this information with our partners on the basis of consent and legitimate interest. You may exercise your right to consent or object to a legitimate interest, based on a specific purpose below or at a partner level in the link under each purpose. These choices will be signaled to our vendors participating in the Transparency and Consent Framework. More information",[],TRUE,MANAGE MY SETTINGS
https://www.joe.ie/,2025-06-22T16:45:42.298045,Partial (No purposes parsed from preference center),TRUE,TRUE,0,0,0,[],"We value your privacy We and our partners store and/or access information on a device, such as cookies and process personal data, such as unique identifiers and standard information sent by a device for personalised advertising and content, advertising and content measurement, audience research and services development.With your permission we and our partners may use precise geolocation data and identification through device scanning. You may click to consent to our and our 1496 partners’ processing as described above. Alternatively you may click to refuse to consent or access more detailed information and change your preferences before consenting. Please note that some processing of your personal data may not require your consent, but you have a right to object to such processing.Your preferences will apply to this website only and will be stored in IABGPP_HDR_GppString cookie for 13 months. You can change your preferences or withdraw your consent at any time by returning to this site and clicking the ""Privacy"" button at the bottom of the webpage. Please note that this website/app uses one or more Google services and may gather and store information including but not limited to your visit or usage behaviour. You may click to grant or deny consent to Google and its third-party tags to use your data for below specified purposes in below Google consent section. MORE OPTIONS I Accept

--- PREFERENCE CENTER TEXT ---
We value your privacy We and our partners store and/or access information on a device, such as cookies and process personal data, such as unique identifiers and standard information sent by a device for personalised advertising and content, advertising and content measurement, audience research and services development. With your permission we and our partners may use precise geolocation data and identification through device scanning. You may click to consent to our and our 1496 partners’ processing as described above. Alternatively you may click to refuse to consent or access more detailed information and change your preferences before consenting. Please note that some processing of your personal data may not require your consent, but you have a right to object to such processing. Your preferences will apply to this website only and will be stored in IABGPP_HDR_GppString cookie for 13 months. You can change your preferences or withdraw your consent at any time by returning to this site and clicking the ""Privacy"" button at the bottom of the webpage. REJECT ALL ACCEPT ALL Purposes (816 partners) Store and/or access information on a device (728 partners) OFF Use limited data to select advertising (487 partners) OFF Create profiles for personalised advertising (541 partners) OFF Use profiles to select personalised advertising (541 partners) OFF Create profiles to personalise content (236 partners) OFF Use profiles to select personalised content (212 partners) OFF Measure advertising performance (523 partners) OFF Measure content performance (268 partners) OFF Understand audiences through statistics or combinations of data from different sources (372 partners) OFF Develop and improve services (368 partners) OFF Use limited data to select content (108 partners) OFF Special Purposes (639 partners) Special Features (339 partners) Features (627 partners) Google consents Additional Links PARTNERS LEGITIMATE INTEREST SAVE & EXIT","[""Final parse found 0 purpose items.""]",TRUE,MORE OPTIONS
https://www.her.ie/,2025-06-22T16:45:57.920522,Partial (No purposes parsed from preference center),TRUE,TRUE,0,0,0,[],"We value your privacy We and our partners store and/or access information on a device, such as cookies and process personal data, such as unique identifiers and standard information sent by a device for personalised advertising and content, advertising and content measurement, audience research and services development.With your permission we and our partners may use precise geolocation data and identification through device scanning. You may click to consent to our and our 1496 partners’ processing as described above. Alternatively you may click to refuse to consent or access more detailed information and change your preferences before consenting. Please note that some processing of your personal data may not require your consent, but you have a right to object to such processing.Your preferences will apply to this website only and will be stored in IABGPP_HDR_GppString cookie for 13 months. You can change your preferences or withdraw your consent at any time by returning to this site and clicking the ""Privacy"" button at the bottom of the webpage. Please note that this website/app uses one or more Google services and may gather and store information including but not limited to your visit or usage behaviour. You may click to grant or deny consent to Google and its third-party tags to use your data for below specified purposes in below Google consent section. MORE OPTIONS I Accept

--- PREFERENCE CENTER TEXT ---
We value your privacy We and our partners store and/or access information on a device, such as cookies and process personal data, such as unique identifiers and standard information sent by a device for personalised advertising and content, advertising and content measurement, audience research and services development. With your permission we and our partners may use precise geolocation data and identification through device scanning. You may click to consent to our and our 1496 partners’ processing as described above. Alternatively you may click to refuse to consent or access more detailed information and change your preferences before consenting. Please note that some processing of your personal data may not require your consent, but you have a right to object to such processing. Your preferences will apply to this website only and will be stored in IABGPP_HDR_GppString cookie for 13 months. You can change your preferences or withdraw your consent at any time by returning to this site and clicking the ""Privacy"" button at the bottom of the webpage. REJECT ALL ACCEPT ALL Purposes (817 partners) Store and/or access information on a device (729 partners) OFF Use limited data to select advertising (488 partners) OFF Create profiles for personalised advertising (541 partners) OFF Use profiles to select personalised advertising (541 partners) OFF Create profiles to personalise content (236 partners) OFF Use profiles to select personalised content (212 partners) OFF Measure advertising performance (524 partners) OFF Measure content performance (269 partners) OFF Understand audiences through statistics or combinations of data from different sources (373 partners) OFF Develop and improve services (369 partners) OFF Use limited data to select content (108 partners) OFF Special Purposes (640 partners) Special Features (339 partners) Features (627 partners) Google consents Additional Links PARTNERS LEGITIMATE INTEREST SAVE & EXIT","[""Final parse found 0 purpose items.""]",TRUE,MORE OPTIONS
