url,timestamp,status,accept_all_present,reject_all_present,settings_button_present,settings_button_text,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,vendor_count,legal_text_summary,error_log
https://www.thejournal.ie/,2025-06-16T18:31:40.285033,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Critical error: ReadTimeoutError']
https://www.rsvplive.ie/,2025-06-16T18:33:40.339509,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.eir.ie/,2025-06-16T18:34:14.614354,Partial (Interaction Failed),TRUE,TRUE,FALSE,,FALSE,0,0,0,[],0,"eir uses cookies for functionality, performance and marketing purposes. By clicking “Accept All”, you agree to the storing of cookies on your device to enhance your on-site experience and assist in our marketing efforts. We also use cookies to analyse aggregated site usage, which is retained only by eir. To find out more or to opt out of our analytics cookies, visit our Privacy Policy",['No button with positive settings keywords found.']
https://www.aerlingus.com/,2025-06-16T18:34:44.228896,Partial (Interaction Failed),TRUE,FALSE,FALSE,,FALSE,0,0,0,[],0,"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device which allows us to collect and use data to enhance your browsing experience, analyse traffic, and assist in our marketing efforts. We may also share data with our advertising and social media partners enabling more targeted and personalised advertising. 
For more information see privacy statement and cookie policy.",['No button with positive settings keywords found.']
https://www.ryanair.com/ie/en,2025-06-16T18:34:50.691400,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.buseireann.ie/,2025-06-16T18:35:08.497473,Partial (Interaction Failed),TRUE,TRUE,FALSE,,FALSE,0,0,0,[],0,"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. More Information",['No button with positive settings keywords found.']
https://www.irishrail.ie/,2025-06-16T18:35:14.108408,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.dublinbus.ie/,2025-06-16T18:35:32.281440,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.luas.ie/,2025-06-16T18:35:50.013015,Success,TRUE,TRUE,TRUE,Manage preferences,TRUE,7,0,0,"[{""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,"We use cookies on this site to enable the site to function and to analyse your visit. We have embedded a Power BI dashboard and a Rezoomo jobs list on the website and as a result, both vendors set certain cookies. You can Accept All, Reject All or Manage your cookie preferences. You will find further information on specific cookies set here.Cookie Information",[]
https://www.revenue.ie/,2025-06-16T18:36:00.838510,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.gov.ie/,2025-06-16T18:36:18.228373,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.citizensinformation.ie/,2025-06-16T18:36:34.070756,Failed,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],0,,['Analysis failed: TimeoutException']
https://www.hse.ie/,2025-06-16T18:36:51.034156,Partial (Interaction Failed),TRUE,FALSE,FALSE,,FALSE,0,0,0,[],0,"We use strictly necessary cookies to make our site work. We would also like to set optional cookies (analytical, functional and YouTube) to enhance and improve our service. You can opt-out of these cookies. By clicking “Accept All Cookies” you can agree to the use of all cookies. Cookie Statement and Privacy Statement",['No button with positive settings keywords found.']
https://www.bonkers.ie/,2025-06-16T18:36:56.532061,Partial (Interaction Failed),TRUE,FALSE,FALSE,,FALSE,0,0,0,[],0,"Like most companies we use cookies to help manage our website. Some of these cookies are necessary to ensure our site functions properly.

Others are optional and help us with site analytics, social media features and our marketing efforts, which in turn help us to provide a seamless online experience as well as a free service to our users. Cookies are used for ads personalisation.

You can choose to accept all cookies or only the ones that you are happy to opt in to.",['No button with positive settings keywords found.']
https://www.bordgaisenergy.ie/,2025-06-16T18:37:03.842274,Success,TRUE,FALSE,TRUE,Manage My Preferences,TRUE,4,1,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""First Party Analytical Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",0,"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, personalise content, analyse site usage, provide social media features and assist in our marketing efforts. You can change your cookie preferences to enable or disable any of the functions mentioned by clicking ""Manage My Preferences"" or learn more in our Cookie Notice.
Cookie Notice",[]
https://www.electricireland.ie/,2025-06-16T18:37:18.237170,Partial (Interaction Failed),TRUE,FALSE,FALSE,,FALSE,0,0,0,[],0,"Our website uses cookies and other similar technologies which are strictly necessary for it to function. These are enabled by default and cannot be disabled. We would also like to use additional cookies to analyse how you use our website, and to deliver personalised content and advertising. You can enable these additional cookies by selecting “Accept All” or enable specific cookie categories under “Cookie Settings”. You can adjust your cookie preferences at any time via “Cookie Settings” linked below within our website’s footer.",['No button with positive settings keywords found.']
https://www.bankofireland.com/,2025-06-16T18:37:25.856227,Partial (Interaction Failed),TRUE,FALSE,FALSE,,FALSE,0,0,0,[],0,"Some cookies that we use are necessary for our websites and apps to operate, while others improve performance and functionality. We (and our advertising partners) also use advertising cookies, so that we can show you advertising you may be interested in. Tap Accept All Cookies if you agree to these. Tap Manage Cookie Settings to choose the types of cookies you’re happy to allow. You can change your cookie settings at any time and find more information in our cookies policy.",['No button with positive settings keywords found.']
