url,timestamp,status,cmp_vendor,initial_banner_found,accept_all_present,reject_all_present,settings_button_present,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,error_log
https://www.supervalu.ie/,2025-06-15T22:35:13.830361,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.tesco.ie/,2025-06-15T22:35:17.668840,Partial (No Settings Button),Unknown,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],['Generic: Banner found but no interactive settings path.']
https://www.lidl.ie/,2025-06-15T22:35:22.189151,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.aldi.ie/,2025-06-15T22:35:28.524660,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.dunnesstores.com/,2025-06-15T22:35:32.278100,Partial (No Settings Button),OneTrust,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.brownthomas.com/,2025-06-15T22:35:36.800821,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.arnotts.ie/,2025-06-15T22:35:42.062688,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.elverys.ie/,2025-06-15T22:35:50.536544,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.lifestylesports.com/ie/,2025-06-15T22:35:59.644667,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.musgrave.ie/,2025-06-15T22:36:04.703582,Partial (No Settings Button),OneTrust,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.carphonewarehouse.ie/,2025-06-15T22:36:10.652052,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],['Critical Workflow Error: WebDriverException']
https://www.currys.ie/,2025-06-15T22:36:52.943828,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.harveynorman.ie/,2025-06-15T22:36:57.832583,Partial (No Settings Button),OneTrust,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],"['Expert: OneTrust host found, but Shadow DOM inaccessible.', 'Generic: Banner found but no interactive settings path.']"
https://www.donegalcoco.ie/,2025-06-15T22:37:03.424069,Partial (No Settings Button),Cookiebot,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,[],['Generic: Banner found but no interactive settings path.']
https://www.corkcity.ie/,2025-06-15T22:37:07.496364,Partial (No Settings Button),Cookiebot,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,[],['Generic: Banner found but no interactive settings path.']
https://www.welfare.ie/,2025-06-15T22:37:11.984051,Partial (No Purposes Found After Click),Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,[],"['Generic: Accessed secondary view, but could not parse purpose containers.']"
https://www.spunout.ie/,2025-06-15T22:37:18.718774,Partial (No Settings Button),Cookiebot,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,[],['Generic: Banner found but no interactive settings path.']
