url,timestamp,status,cmp_vendor,initial_banner_found,accept_all_present,reject_all_present,settings_button_present,settings_button_text,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,legal_text_summary,error_log
https://www.irishrail.ie/,2025-06-16T03:28:52.252190,Partial (Interaction Failed),Unknown,TRUE,FALSE,TRUE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.dublinbus.ie/,2025-06-16T03:28:59.149102,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.luas.ie/,2025-06-16T03:29:04.755565,Success,Unknown,TRUE,TRUE,TRUE,TRUE,Manage preferences,TRUE,7,0,0,"[{""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",,[]
https://www.revenue.ie/,2025-06-16T03:29:14.783307,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Analysis failed: TimeoutException']
https://www.gov.ie/,2025-06-16T03:29:29.374109,Partial (Interaction Failed),Unknown,TRUE,TRUE,FALSE,FALSE,,FALSE,0,0,0,[],This website uses cookies to collect information about how you use this site. This information is used to make the website work as well as possible. More details available in our cookie and privacy policies.,['No button with positive settings keywords found.']
https://www.citizensinformation.ie/,2025-06-16T03:29:34.150161,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.hse.ie/,2025-06-16T03:29:39.134838,Partial (Interaction Failed),Unknown,TRUE,TRUE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.bonkers.ie/,2025-06-16T03:29:43.905782,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['Analysis failed: TimeoutException']
https://www.bordgaisenergy.ie/,2025-06-16T03:29:59.564516,Success,Unknown,TRUE,TRUE,FALSE,TRUE,Manage My Preferences,TRUE,4,1,0,"[{""title"": ""Title Not Found"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""First Party Analytical Cookies"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": true}, {""title"": ""Functional Cookies"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""description"": """", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",,[]
https://www.electricireland.ie/,2025-06-16T03:30:08.538924,Partial (Interaction Failed),Unknown,TRUE,TRUE,FALSE,FALSE,,FALSE,0,0,0,[],,['No button with positive settings keywords found.']
https://www.bankofireland.com/,2025-06-16T03:30:13.468502,Partial (Interaction Failed),Unknown,TRUE,FALSE,FALSE,FALSE,,FALSE,0,0,0,[],,['No buttons found in banner.']
