url,timestamp,status,cmp_vendor,initial_banner_found,accept_all_present,reject_all_present,settings_button_present,preference_center_accessed,total_purposes_count,pre_ticked_non_essential_count,strictly_necessary_count,purposes_json,error_log
https://www.lidl.ie/,2025-06-15T20:12:56.060343,Success,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,4,0,0,"[{""title"": ""Necessary"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Preferences"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Statistics"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.aldi.ie/,2025-06-15T20:13:06.130042,Success,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,4,0,0,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Marketing Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.dunnesstores.com/,2025-06-15T20:13:09.546512,Success,Unknown,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,1,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.brownthomas.com/,2025-06-15T20:13:22.924968,Success,Unknown,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.arnotts.ie/,2025-06-15T20:13:39.448627,Success,Unknown,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.elverys.ie/,2025-06-15T20:13:55.585843,Success,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,4,0,0,"[{""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.lifestylesports.com/ie/,2025-06-15T20:14:03.537287,Success,Unknown,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,1,"[{""title"": ""Title Not Found"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.musgrave.ie/,2025-06-15T20:14:13.636181,Success,Unknown,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,"[{""title"": ""Strictly Necessary Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Performance Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Functional Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Targeting Cookies"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.carphonewarehouse.ie/,2025-06-15T20:14:25.700287,Failed,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,[],['Top-level script error: WebDriverException - Message: unknown error: net::ERR_CONNECTION_TIMED_OUT\n  (Session info: chrome=137.0.7151.104)\nStacktrace:\n\tGetHandleVerifier [0x0xdd3783+63299]\n\tGetHandleVerifier [0x0xdd37c4+63364]\n\t(No symbol) [0x0xc01113]\n\t(No symbol) [0x0xbfe64e]\n\t(No symbol) [0x0xbf1e42]\n\t(No symbol) [0x0xbf3878]\n\t(No symbol) [0x0xbf20d8]\n\t(No symbol) [0x0xbf1c13]\n\t(No symbol) [0x0xbf1921]\n\t(No symbol) [0x0xbef8c4]\n\t(No symbol) [0x0xbf026b]\n\t(No symbol) [0x0xc04b3e]\n\t(No symbol) [0x0xc90657]\n\t(No symbol) [0x0xc6e57c]\n\t(No symbol) [0x0xc8fa4a]\n\t(No symbol) [0x0xc6e376]\n\t(No symbol) [0x0xc3d6e0]\n\t(No symbol) [0x0xc3e544]\n\tGetHandleVerifier [0x0x102e073+2531379]\n\tGetHandleVerifier [0x0x1029372+2511666]\n\tGetHandleVerifier [0x0xdf9efa+220858]\n\tGetHandleVerifier [0x0xdea548+156936]\n\tGetHandleVerifier [0x0xdf0c7d+183357]\n\tGetHandleVerifier [0x0xddb6e8+95912]\n\tGetHandleVerifier [0x0xddb890+96336]\n\tGetHandleVerifier [0x0xdc666a+9770]\n\tBaseThreadInitThunk [0x0x752e5d49+25]\n\tRtlInitializeExceptionChain [0x0x76f4d03b+107]\n\tRtlGetAppContainerNamedObjectPath [0x0x76f4cfc1+561]\n']
https://www.currys.ie/,2025-06-15T20:15:07.906796,Success,Unknown,TRUE,TRUE,FALSE,TRUE,TRUE,5,0,1,"[{""title"": ""Title Not Found"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.harveynorman.ie/,2025-06-15T20:15:33.938201,Success,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,5,0,1,"[{""title"": ""Title Not Found"", ""is_strictly_necessary"": true, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}, {""title"": ""Title Not Found"", ""is_strictly_necessary"": false, ""is_ticked_by_default"": false}]",[]
https://www.donegalcoco.ie/,2025-06-15T20:15:39.464840,Partial,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,[],"['Initial banner found, but no settings/manage button detected.']"
https://www.corkcity.ie/,2025-06-15T20:16:00.793851,Partial,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,[],"['Initial banner found, but no settings/manage button detected.']"
https://www.welfare.ie/,2025-06-15T20:16:23.290056,Partial,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,[],"['Accessed preference center, but could not find purpose containers.']"
https://www.spunout.ie/,2025-06-15T20:17:18.447704,Partial,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,[],"['Initial banner found, but no settings/manage button detected.']"
